,aai_pair,euclidean,standard_euclidean,manhattan,chebyshev,cosine,pearson,spearman,M
64,"(5, 11)",173.4009439,7.268600463,1121.571429,40.6,0.175233953,0.412971637,0.323190624,1
135,"(4, 20)",70.76091596,3.107164267,362.4041497,20.63129252,0.044040997,0.879319128,0.883762613,-1
69,"(1, 5)",186.9695365,9.359554952,1209.109713,41.84615385,0.205946724,0.026652568,0.023301343,1
54,"(5, 6)",195.1707443,7.710391563,1250.890476,47.96666667,0.209161891,0.324430249,0.139272623,1
61,"(5, 8)",188.1895476,7.574941309,1218.399098,41.92857143,0.219065415,0.36244738,0.227287653,1
24,"(5, 24)",128.9637635,7.317790158,753.7204816,36,0.208146218,0.346950576,0.313421052,1
57,"(5, 22)",167.7328965,8.23018168,1035.697871,40.27575758,0.228365945,0.173952555,0.178854975,1
37,"(5, 12)",179.2938231,9.105610061,1155.845833,40.89285714,0.255598842,0.07875406,0.081963628,1
185,"(4, 15)",24.5040937,3.450639908,123.3837839,8.794928881,0.055259291,0.851163553,0.892274881,-1
181,"(18, 19)",0,0,0,0,0,1,1,-1
260,"(5, 7)",184.1139169,9.00686752,1173.195238,44.67142857,0.214984635,0.078140199,0.016267504,1
203,"(14, 17)",6.841132147,0.56454488,33.48821214,2.865909091,0.001423345,0.996016113,0.995281238,-1
146,"(22, 23)",5.46948978,0.371943937,25.54877356,2.216596639,0.000732355,0.998312899,0.999106025,-1
159,"(7, 12)",4.083402835,2.450705731,16.56071429,2.319047619,0.030033307,0.926756603,0.938139058,-1
137,"(20, 22)",52.733197,0.950773338,287.9919157,15.31897593,0.003353227,0.98995589,0.981263703,-1
178,"(5, 18)",153.940169,7.029635554,941.8446429,39.16666667,0.201441206,0.397368585,0.346281151,1
143,"(0, 24)",74.40648981,1.908200177,377.1648416,23.51356375,0.017282096,0.959541912,0.94750099,-1
8,"(0, 8)",1.640398304,3.771626218,8.146818418,0.666666667,0.083380675,0.822185446,0.930354885,1
187,"(15, 20)",46.09717947,1.005082055,224.6628832,16.22799499,0.005460729,0.987680611,0.994457357,-1
191,"(6, 15)",24.84338035,1.087977553,124.7862837,7.652957393,0.005956467,0.986847832,0.986055699,-1
116,"(20, 22)",43.19575985,0.768945973,209.4680436,15.13643625,0.00307168,0.992789294,0.98766315,-1
256,"(5, 22)",175.07346,8.36349525,1112.214328,40.22,0.203085103,0.205135764,0.103415147,1
140,"(16, 20)",1.478411859,0.033368966,8.215764542,0.434468864,4.39E-06,0.999987628,0.999468474,-1
155,"(2, 15)",21.84979795,2.307460309,109.4320152,8.182683983,0.023819912,0.933445337,0.930058306,-1
195,"(7, 20)",54.38480711,2.223794048,260.3666667,21.3547619,0.025248431,0.939691952,0.919214846,-1
85,"(5, 14)",162.4760679,8.514250229,1037.22886,40.2952381,0.184981495,0.194528256,0.190649962,1
250,"(5, 10)",188.7694582,8.115340541,1221.914535,41.90909091,0.172725422,0.268236088,0.207392448,1
124,"(22, 23)",5.345998877,0.426090765,26.16355771,2.216596639,0.000811133,0.997730583,0.996224991,-1
247,"(8, 17)",20.25000201,3.17477291,104.0242879,5.934090909,0.062255904,0.874010212,0.985011924,1
226,"(11, 22)",12.26782522,1.981576182,58.29624215,4.536635707,0.022383555,0.952114096,0.958350456,-1
92,"(1, 20)",69.73442467,1.9588713,340.6142857,24.11428571,0.019214,0.953205161,0.956035888,-1
198,"(6, 11)",13.38923126,1.463251416,64.30714286,6.2,0.011211616,0.973236191,0.956580852,-1
174,"(4, 11)",16.08352977,4.731265188,74.57232426,7.131292517,0.125378551,0.727013777,0.861225673,-1
66,"(5, 14)",174.5584022,8.277654796,1109.05578,40.22,0.204505453,0.221368535,0.108714815,1
200,"(17, 18)",7.940990916,0.546252055,39.56428571,3.1,0.00130783,0.996270109,0.994526236,-1
214,"(19, 21)",11.03771414,0.59133256,54.68028938,3.74001548,0.001686211,0.996114731,0.997553184,-1
82,"(5, 20)",127.9559216,7.29799465,746.0357143,36,0.207677714,0.350478952,0.321278902,1
192,"(18, 20)",42.00646994,1.001697092,214.7160714,12.14285714,0.004369754,0.987457537,0.982257456,-1
50,"(5, 21)",176.4596509,8.988834075,1135.740408,40.62142857,0.251933075,0.1022318,0.111627299,1
45,"(5, 15)",165.8086389,8.480285911,1061.876153,40.68095238,0.187991344,0.200941676,0.183891223,1
147,"(0, 7)",13.38768771,1.058054992,66.59732949,4.162715666,0.005389834,0.9863478,0.982545874,-1
207,"(2, 24)",66.35942345,2.015413454,339.731195,19.28018207,0.017484009,0.949226358,0.91572489,-1
10,"(8, 19)",28.0582101,2.701593052,143.5885736,9.034090909,0.047551666,0.908767437,0.994091247,1
145,"(10, 12)",15.56879612,2.111211006,75.50018643,5.445960061,0.022947507,0.945643757,0.935016846,-1
157,"(10, 20)",70.4888109,2.438464741,360.9497573,20.43886555,0.025526512,0.925673621,0.91805192,-1
134,"(12, 24)",53.06487435,0.132742364,271.9353617,15.32780112,7.60E-05,0.999779743,0.998867497,-1
144,"(0, 1)",0.04812369,0.12915237,0.155229752,0.021492164,7.92E-05,0.999814663,0.998331601,-1
15,"(8, 18)",28.0582101,2.701593052,143.5885736,9.034090909,0.047551666,0.908767437,0.994091247,1
161,"(12, 17)",5.418039073,0.566113895,25.72380952,2.066666667,0.001660559,0.996091647,0.993249595,-1
101,"(14, 24)",41.43299928,1.08511098,212.0709591,12.01282618,0.005173668,0.985281677,0.971121178,-1
150,"(12, 18)",13.54509768,1.031644464,64.30952381,5.166666667,0.005544027,0.98702085,0.983908457,-1
38,"(5, 13)",181.1544414,8.535514893,1154.384351,42.50075758,0.206987378,0.172102108,0.080282811,1
49,"(5, 18)",161.3770061,8.524238451,1029.013095,40.16666667,0.184244506,0.19263732,0.196338009,1
93,"(18, 23)",7.127998502,0.53279777,34.88474362,2.955462185,0.001275872,0.996451582,0.996224991,-1
163,"(5, 14)",154.8148164,7.01745032,947.7724172,39.40075758,0.202443211,0.399455988,0.346281151,1
13,"(5, 16)",128.6338512,7.297133535,751.3920601,36,0.20817003,0.350632222,0.316814215,1
114,"(3, 5)",195.4308225,8.920946216,1251.852381,48.28571429,0.217348557,0.09564453,-0.034137285,1
123,"(3, 10)",1.602153435,2.265993428,7.764537883,0.596697626,0.0245492,0.937381388,0.932442554,-1
75,"(5, 22)",155.245035,7.057066303,950.3609007,39.90553221,0.201354249,0.392656283,0.346281151,1
31,"(8, 16)",68.76528616,3.574029242,352.2285714,19.7,0.076082382,0.840328937,0.96250277,1
56,"(8, 21)",18.52213143,3.361294818,95.30310196,5.195225363,0.068672078,0.858771214,0.983309551,1
242,"(11, 18)",14.11703032,2.18136785,67.55,4.928571429,0.026233985,0.94197115,0.975016797,-1
40,"(8, 11)",14.45747748,1.547995973,70.38321643,6.434090909,0.016256764,0.970046356,0.954328954,1
90,"(10, 21)",21.32190792,1.657084925,108.1113095,6.645238095,0.013344613,0.969489662,0.963242706,-1
109,"(2, 24)",67.60943051,2.180645784,330.1354621,23.51356375,0.023799225,0.942009561,0.952981743,-1
14,"(5, 11)",183.0970773,7.057766454,1174.185714,41.76666667,0.212354013,0.433953781,0.233387214,1
233,"(3, 19)",27.22431613,2.096259038,131.5125,9.578571429,0.023106958,0.946410952,0.9633204,-1
0,"(5, 13)",176.0291956,8.916510385,1132.980661,40.60194805,0.251241599,0.116620473,0.120073675,1
202,"(17, 20)",49.3134944,0.392913526,239.5375,17.23571429,0.000799965,0.998117304,0.996468336,-1
102,"(2, 10)",2.249958122,2.811082621,10.87644264,0.796697626,0.037964993,0.903631884,0.93663744,-1
35,"(5, 13)",160.8100967,7.162148892,986.3581315,42.50075758,0.205555361,0.37443443,0.329493927,1
103,"(11, 24)",54.7049575,3.047118816,265.1378431,19.18102407,0.050296409,0.886769109,0.939502357,-1
125,"(10, 14)",27.56680015,1.613850148,140.1576123,9.304774637,0.011381256,0.967443596,0.959854635,-1
96,"(17, 22)",7.745031891,0.465704741,41.71879856,2.317127377,0.000805138,0.997590212,0.993754568,-1
230,"(3, 12)",14.36664104,2.076373436,69.64761905,5.078571429,0.021642204,0.947422846,0.955630646,-1
244,"(17, 19)",9.043878299,0.431300067,44.87142857,3.028571429,0.000898592,0.997933114,0.997689118,-1
36,"(5, 23)",179.4448988,8.59434598,1142.048385,42.12212885,0.203574315,0.160650195,0.08257456,1
65,"(5, 23)",159.2207389,7.17018804,975.9096743,42.12212885,0.201743179,0.373029311,0.337083895,1
243,"(8, 21)",20.73523595,3.210218695,105.3515623,6.467586304,0.058709929,0.885494399,0.990717293,-1
248,"(2, 8)",2.009554583,4.083014852,10.02217747,0.666666667,0.096082814,0.791612371,0.935178685,1
77,"(5, 6)",190.286832,8.407362062,1234.042857,41.8,0.247984719,0.214625146,0.146410687,1
261,"(5, 21)",181.6918578,8.672544001,1157.5429,43.00553221,0.206262216,0.145306597,0.069969944,1
162,"(11, 23)",8.941223766,2.562690898,42.96849492,3.304707792,0.034438775,0.92702906,0.960747664,-1
156,"(10, 20)",71.5265665,2.149652222,349.6740617,24.48167435,0.023070468,0.943646284,0.94113011,-1
165,"(2, 21)",16.73032566,1.993480622,85.4508379,5.280182073,0.017089719,0.950325438,0.931387232,-1
188,"(6, 13)",17.92090945,1.680073509,86.77996372,6.22216792,0.015358652,0.965577476,0.986437354,-1
78,"(5, 18)",168.9677648,8.784066903,1081.060119,39.89285714,0.248155227,0.14266854,0.11365443,1
262,"(5, 23)",174.3347686,8.947936193,1120.295562,40.40714286,0.250514468,0.110382643,0.110681305,1
141,"(17, 20)",55.08901994,0.363559946,279.4625,17.23571429,0.000631148,0.99853138,0.994290763,-1
193,"(8, 17)",20.62042386,3.087394016,101.3673555,7.068308271,0.061028877,0.883756075,0.989203997,-1
17,"(0, 5)",195.2181601,9.137102449,1250.267295,48.28571429,0.221720814,0.051288169,-0.069908775,1
52,"(5, 13)",169.9940084,8.735892594,1090.67886,40.8952381,0.190132358,0.152046451,0.159466079,1
87,"(5, 10)",191.773785,8.665341523,1243.851718,41.92857143,0.249022342,0.165687292,0.155570784,1
126,"(22, 24)",42.00646994,0.966732783,214.7160714,12.14285714,0.004046194,0.988317847,0.969799924,-1
222,"(4, 9)",2.232885667,3.660212902,10.575,0.89047619,0.06872081,0.836620018,0.909212489,-1
39,"(2, 5)",194.9695758,9.350342545,1248.402381,48.28571429,0.230812743,0.006489708,-0.0831326,1
167,"(2, 8)",1.762967158,3.613717972,8.426879261,0.666666667,0.081639418,0.84074442,0.94503302,-1
81,"(5, 9)",186.5407326,7.662255049,1161.797619,41.8,0.22048942,0.284022531,0.200026724,1
170,"(9, 23)",19.93304444,1.669249798,97.22842097,6.94235023,0.015227329,0.966019575,0.994674079,-1
231,"(3, 14)",26.56986474,1.853666117,129.4469303,9.155501253,0.017260674,0.958096609,0.93660395,-1
246,"(5, 16)",147.9246749,8.785882548,889.8361368,38.12,0.209658616,0.122821226,0.054643876,1
132,"(4, 23)",24.79143535,2.992799852,125.6556282,7.731239119,0.044066549,0.900479434,0.917060755,-1
212,"(17, 24)",47.93392831,0.523820669,245.5591712,13.58425475,0.001182813,0.996570149,0.986976217,-1
28,"(5, 10)",187.9307591,7.703711489,1170.459776,41.90909091,0.198299471,0.276254016,0.201990565,1
73,"(5, 18)",166.471385,8.193508957,1027.035714,40.16666667,0.228148714,0.181297695,0.178854975,1
258,"(5, 22)",170.2902797,8.817138647,1090.86898,40.02142857,0.24851481,0.136200734,0.11365443,1
106,"(3, 23)",20.56777924,1.872095201,101.0108961,7.175683564,0.01724229,0.957259263,0.935897546,-1
154,"(1, 16)",67.06308548,2.072755051,325.1563804,23.69121554,0.022137386,0.947605933,0.947888051,-1
18,"(5, 23)",167.9510902,8.73043991,1075.937901,40.6030303,0.187039119,0.153104655,0.159399161,1
107,"(12, 15)",8.895639982,1.308193335,41.63618189,4.23030303,0.007808137,0.978607877,0.977161193,-1
6,"(5, 17)",180.2096968,8.564223672,1147.598214,42.26666667,0.205321408,0.166523556,0.085406473,1
23,"(5, 24)",142.720928,8.582954149,829.4478712,38.37575758,0.241675868,0.101620708,0.096850323,1
32,"(5, 19)",173.6384117,8.307066001,1102.269643,40.1,0.203256889,0.215825619,0.103415147,1
169,"(2, 14)",28.5407378,2.095871934,143.4241007,9.155501253,0.021053953,0.951192454,0.948057172,-1
5,"(8, 9)",1.150585454,1.618100818,6.076073576,0.339736842,0.020101822,0.967271872,0.987388694,1
91,"(2, 11)",15.27950549,3.361135532,71.8952381,6.233333333,0.058251027,0.874475199,0.918207896,-1
245,"(5, 12)",163.99306,7.355350613,1006.154167,44.33333333,0.209669518,0.34022948,0.313421052,1
129,"(10, 24)",69.75621223,2.198777248,341.0119048,23.88095238,0.024115055,0.941041203,0.939543787,-1
220,"(1, 11)",14.50779451,3.265650841,66.81428571,6.297435897,0.05730774,0.869945422,0.907149448,-1
112,"(20, 24)",1.824810931,0.060854955,8.66215693,0.711444051,1.88E-05,0.999954837,0.999823882,-1
173,"(23, 24)",46.70638837,0.479168013,226.5005593,16.33788018,0.001187555,0.997199976,0.98802074,-1
74,"(5, 21)",161.2584432,7.226718604,988.946615,43.00553221,0.204842322,0.363104125,0.326100764,1
259,"(5, 14)",167.3590368,8.191628157,1033.248308,40.2952381,0.230136372,0.181673514,0.180887418,1
182,"(0, 20)",76.3542964,1.895383261,386.9737024,24.11428571,0.017055522,0.960083581,0.947364982,-1
196,"(4, 15)",27.2564934,3.230947307,136.694617,8.441846282,0.051790425,0.884010883,0.904002637,-1
136,"(0, 20)",69.70961699,1.956869366,340.4854247,24.11428571,0.019174755,0.95330076,0.956085174,-1
158,"(3, 11)",14.16982918,3.435347596,64.7,6.519047619,0.065621418,0.856077889,0.899594285,-1
176,"(15, 19)",4.743763621,0.342851251,23.7110975,1.692280702,0.000696396,0.9985665,0.994278562,-1
27,"(5, 15)",170.0458939,8.186138032,1051.886088,40.68095238,0.237668637,0.18277005,0.144215079,1
164,"(9, 20)",76.40439304,1.921671209,387.5738095,23.88095238,0.018381077,0.958968664,0.97381163,-1
